Gene,Info
PF3D7_0810800,source=literature
PF3D7_0104300,source=literature
PF3D7_0417200,source=literature
PF3D7_0523000,source=literature
PF3D7_0709000,source=literature
PF3D7_1218300,source=literature
PF3D7_1204400,source=literature
PF3D7_1318100,source=literature
PF3D7_1343700,source=literature
PF3D7_1460900,source=literature
PF3D7_0109800,source=literature
PF3D7_0321900,source=literature
PF3D7_0509800,source=literature
PF3D7_0603300,source=literature
PF3D7_1036800,source=literature
PF3D7_1113300,source=literature
PF3D7_1211900,source=literature
PF3D7_1213800,source=literature
PF3D7_1320600,source=literature
PF3D7_1451100,source=literature
PF3D7_MIT02300,source=literature
PF3D7_1251200,source=literature
PF3D7_1246300,source=literature
PF3D7_1138700,source=literature
PF3D7_0813000,source=literature
PF3D7_1025000,source=literature
PF3D7_1438400,source=literature
