Gene,Info
PocGH01_02017600,source=homology
PocGH01_05028400,source=homology
PocGH01_10018700,source=homology
PocGH01_01016900,source=homology
PocGH01_14036800,source=homology
PocGH01_14044500,source=homology
PocGH01_13014400,source=homology
PocGH01_14026200,source=homology
PocGH01_12019400,source=homology
PocGH01_12053900,source=homology
PocGH01_02012500,source=homology
PocGH01_08026600,source=homology
PocGH01_10031700,source=homology
PocGH01_11053300,source=homology
PocGH01_06029000,source=homology
PocGH01_09019600,source=homology
PocGH01_13021900,source=homology
PocGH01_14039900,source=homology
PocGH01_12022400,source=homology
PocGH01_12063800,source=homology
PocGH01_MIT000020,source=homology
PocGH01_14075700,source=homology
