Gene,Info
PVP01_0210400,source=homology
PVP01_0526600,source=homology
PVP01_1010900,source=homology
PVP01_0109300,source=homology
PVP01_1429500,source=homology
PVP01_1437100,source=homology
PVP01_1303600,source=homology
PVP01_1419000,source=homology
PVP01_1211100,source=homology
PVP01_1245900,source=homology
PVP01_0205300,source=homology
PVP01_0818300,source=homology
PVP01_1024200,source=homology
PVP01_1145600,source=homology
PVP01_0621200,source=homology
PVP01_0914100,source=homology
PVP01_1311100,source=homology
PVP01_1432600,source=homology
PVP01_1421400,source=homology
PVP01_1255900,source=homology
PVP01_MIT03400,source=homology
PVP01_1468300,source=homology
