Gene,Info
PmUG01_02019300,source=homology
PmUG01_05034700,source=homology
PmUG01_10021600,source=homology
PmUG01_01020700,source=homology
PmUG01_14045500,source=homology
PmUG01_14053100,source=homology
PmUG01_13014600,source=homology
PmUG01_14034800,source=homology
PmUG01_12021200,source=homology
PmUG01_12056000,source=homology
PmUG01_02014200,source=homology
PmUG01_08034200,source=homology
PmUG01_06015100,source=homology
PmUG01_11059500,source=homology
PmUG01_10047600,source=homology
PmUG01_09022700,source=homology
PmUG01_13021900,source=homology
PmUG01_14048600,source=homology
PmUG01_12024200,source=homology
PmUG01_12065900,source=homology
PmUG01_MIT001100,source=homology
PmUG01_14084400,source=homology
